time,height_delta,beta
114.94400578378213,0,0.45
115.11741708504574,0,0.45
116.24794726277811,0,0.45
117.99925943005827,0,0.45
119.45857733154924,1,0.45
119.4609477176592,2,0.45
119.65101373701549,3,0.45
120.33350829372947,2,0.45
122.8717817943928,1,0.45
123.17251551474062,2,0.45
123.69110551896857,1,0.45
123.7787980600334,1,0.45
124.63782017047981,0,0.45
124.933285950252,0,0.45
126.0270939814842,0,0.45
127.94006856029434,1,0.45
128.03214722005708,0,0.45
128.9838173592194,1,0.45
131.9209083104754,0,0.45
132.4630005157173,1,0.45
133.72765734461828,2,0.45
135.47756432611934,1,0.45
136.4017085057408,0,0.45
137.42004216745954,1,0.45
139.177860924517,0,0.45
139.76051987296472,1,0.45
139.8264433890073,2,0.45
139.8846381341776,3,0.45
140.72241756459655,2,0.45
143.29373511183033,3,0.45
143.3957027321296,2,0.45
144.65599490389368,1,0.45
144.67493122983905,1,0.45
145.66123101929074,2,0.45
146.61390292920748,3,0.45
147.32606138808504,2,0.45
148.07292110106872,1,0.45
148.64035788900796,2,0.45
148.92924983561102,3,0.45
150.04978207367958,2,0.45
151.569081887064,1,0.45
152.3987174424402,2,0.45
152.4430111800392,1,0.45
154.65283524749537,0,0.45
154.72957931203516,1,0.45
155.6580404782824,0,0.45
156.09998490653706,0,0.45
156.56332669465326,0,0.45
156.95113219832805,0,0.45
156.99878473387645,0,0.45
157.11616943914788,0,0.45
157.1604387857985,1,0.45
157.26550788659995,1,0.45
157.5258120336787,2,0.45
159.07222605464273,3,0.45
159.53692034339545,2,0.45
159.63349365289707,3,0.45
161.30297001911458,4,0.45
161.35727143583406,5,0.45
161.81683792553258,4,0.45
162.06822602228846,5,0.45
162.73577668195455,4,0.45
162.82189554250968,4,0.45
163.50742176475734,5,0.45
164.9579432033427,4,0.45
165.64797880043002,3,0.45
165.78808332001324,4,0.45
165.8217512007225,5,0.45
166.42194664603798,6,0.45
166.9160911883423,5,0.45
168.4850047674717,4,0.45
168.53248549810465,4,0.45
168.7872169993395,4,0.45
169.24227736330695,3,0.45
169.27837695645132,4,0.45
171.44133101539714,5,0.45
172.2729567123658,6,0.45
172.2818028351548,5,0.45
172.45251527272248,6,0.45
173.13901811625618,5,0.45
173.14662651880354,5,0.45
174.80990780981318,4,0.45
176.99434375630423,5,0.45
177.57508297616224,6,0.45
177.64444625700267,7,0.45
178.03559782451762,8,0.45
179.93385477950878,7,0.45
180.37453807698878,7,0.45
181.56634534421758,6,0.45
181.98234212036982,6,0.45
182.874843599903,5,0.45
184.05815087536288,4,0.45
184.7454693866982,3,0.45
184.97351113549107,3,0.45
186.6504912555228,2,0.45
186.74775805904656,2,0.45
187.09628413136028,2,0.45
187.86234166771723,3,0.45
188.11342096982543,4,0.45
188.8237043010949,3,0.45
188.9565938128214,4,0.45
189.10324995853892,5,0.45
189.4318602966924,4,0.45
189.63311855842616,5,0.45
189.71501897423622,5,0.45
189.90269900033792,6,0.45
189.93521100729967,7,0.45
191.13140922662265,6,0.45
193.3868051082794,5,0.45
193.5735432647344,5,0.45
194.3723855599467,4,0.45
194.67134882499784,4,0.45
195.0663423198924,5,0.45
196.02751509697364,4,0.45
196.28228926005937,4,0.45
197.86647951923564,3,0.45
199.39030995470475,4,0.45
199.78503103810712,3,0.45
199.84451668184568,2,0.45
200.08790271757533,2,0.45
201.000123723856,3,0.45
201.5577267077622,2,0.45
201.7572107851244,3,0.45
202.50545460144568,2,0.45
203.03450814488016,1,0.45
203.26520787357262,1,0.45
204.5453013769264,0,0.45
205.32998124329802,0,0.45
205.75668961572399,0,0.45
206.32967121275192,0,0.45
207.26210028715838,0,0.45
207.76198476000778,0,0.45
208.2909609598965,0,0.45
209.11832424076852,1,0.45
209.3661804077906,0,0.45
210.40900714692623,0,0.45
211.58868785573736,0,0.45
212.556267020633,0,0.45
212.63322716179584,0,0.45
212.9362451177601,0,0.45
213.49614583527824,0,0.45
214.03159451064565,0,0.45
214.717674675512,1,0.45
216.68523025448542,0,0.45
217.29900049630683,1,0.45
217.4284953299337,0,0.45
217.66039279856835,0,0.45
217.7288796331837,0,0.45
218.720663800576,1,0.45
219.81381301538485,0,0.45
220.59440941261346,0,0.45
222.31620638182278,0,0.45
222.6463324680076,1,0.45
223.17359610750538,2,0.45
223.8219648882525,3,0.45
223.89343780342023,2,0.45
224.16252122927014,2,0.45
225.7856501936335,3,0.45
226.4986535526272,4,0.45
226.91248439396085,5,0.45
227.8021504912876,4,0.45
228.45908811452762,3,0.45
228.7065234682219,3,0.45
229.89194292381907,4,0.45
230.7914823589502,3,0.45
231.61593127866644,4,0.45
232.53830925171954,3,0.45
232.56339426333548,3,0.45
233.34100317484882,4,0.45
233.38696075726446,5,0.45
234.15500981612593,4,0.45
234.19105490395904,4,0.45
234.57543631936346,4,0.45
234.6694484771334,3,0.45
234.78155646776224,3,0.45
238.0378309655795,2,0.45
239.41139304861713,1,0.45
239.68052859310657,1,0.45
240.24085908471167,2,0.45
240.85173008076745,1,0.45
240.94183843478413,1,0.45
241.36521675554718,0,0.45
241.9902759127787,0,0.45
243.4562408673713,1,0.45
244.7346400595851,2,0.45
247.04724373508535,1,0.45
247.1655922938047,1,0.45
248.32285197852235,0,0.45
249.33762963254847,1,0.45
249.96974168680373,0,0.45
249.97336612744425,0,0.45
250.79226918837173,0,0.45
251.22265918782327,0,0.45
251.94879706549233,0,0.45
252.1787274631458,0,0.45
253.0349997983766,0,0.45
253.05336396736212,0,0.45
253.11649880820514,0,0.45
253.3911470875833,1,0.45
254.08123493422343,0,0.45
254.2313145296246,1,0.45
